Gemeindename;Fläche km2 1);insgesamt;männlich;weiblich;je km2;Post-leit-zahl3);Längengrad;Breitengrad;Column1;Reisegebiete;Grad der Verstädterung;
Berlin, Stadt;891,12;3 644 826;1 792 801;1 852 025; 4 090;10178;13,405538;52,51767;XBE;Berlin;dicht besiedelt;
Hamburg, Freie und Hansestadt;755,09;1 841 179; 902 048; 939 131; 2 438;20038;9,99697;53,550678;XHH;Hamburg;dicht besiedelt;
Gardelegen, Hansestadt;632,55; 22 402; 11 183; 11 219;  35;39638;11,394214;52,524469;D05;Altmark;gering besiedelt;
Möckern, Stadt;523,95; 12 874; 6 516; 6 358;  25;39291;11,952694;52,139752;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Zerbst/Anhalt, Stadt;468,03; 21 657; 10 665; 10 992;  46;39261;12,085469;51,964039;D03;Anhalt-Wittenberg;mittlere Besiedlungsdichte;
Wittstock/Dosse, Stadt;420,23; 14 198; 7 004; 7 194;  34;16909;12,485875;53,163299;A01;Prignitz;mittlere Besiedlungsdichte;
Köln, Stadt;405,01;1 085 664; 529 368; 556 296; 2 681;50667;6,957068;50,938107;H09;Köln und Rhein-Erft-Kreis;dicht besiedelt;
Templin, Stadt;379,57; 15 798; 7 642; 8 156;  42;17268;13,499106;53,120644;A03;Uckermark;mittlere Besiedlungsdichte;
Harz (Landkreis Goslar), gemfr. Gebiet;372,39;;;;;;10,431148;51,780628;G13;Harz;gering besiedelt;
Neustadt am Rübenberge, Stadt;358,96; 44 282; 21 926; 22 356;  123;31535;9,457529;52,504751;G11;Hannover-Hildesheim;gering besiedelt;
Geestland, Stadt;356,56; 30 866; 15 061; 15 805;  87;27607;8,594252;53,608072;G02;Nordseeküste;gering besiedelt;
Jessen (Elster), Stadt;352,12; 14 104; 7 011; 7 093;  40;06917;12,954825;51,790085;D03;Anhalt-Wittenberg;gering besiedelt;
Nuthe-Urstromtal;341,31; 6 603; 3 387; 3 216;  19;14947;13,16802;52,128067;A11;Fläming;gering besiedelt;
Dresden, Stadt;328,48; 554 649; 276 729; 277 920; 1 689;01067;13,736883;51,051697;C00;Stadt Dresden;dicht besiedelt;
Rheinsberg, Stadt;328,22; 8 015; 3 997; 4 018;  24;16831;12,892207;53,099024;A02;Ruppiner Seenland;gering besiedelt;
Angermünde, Stadt;324,23; 13 744; 6 672; 7 072;  42;16278;14,003142;53,017304;A03;Uckermark;mittlere Besiedlungsdichte;
Bremen, Stadt;317,83; 569 352; 281 336; 288 016; 1 791;28195;8,809338;53,075606;XHB;Bremen;dicht besiedelt;
München, Landeshauptstadt;310,70;1 471 508; 717 308; 754 200; 4 736;80313;11,573599;48,143439;T23;Landeshauptstadt München;dicht besiedelt;
Neuruppin, Stadt;305,24; 30 846; 15 088; 15 758;  101;16816;12,806498;52,923365;A02;Ruppiner Seenland;mittlere Besiedlungsdichte;
Salzwedel, Hansestadt;304,58; 23 655; 11 708; 11 947;  78;29410;11,153862;52,852801;D05;Altmark;mittlere Besiedlungsdichte;
Münster, Stadt;303,28; 314 319; 150 836; 163 483; 1 036;48127;7,626804;51,961908;H03;Münsterland;dicht besiedelt;
Schmallenberg, Stadt;303,10; 24 869; 12 607; 12 262;  82;57392;8,285496;51,153811;H05;Sauerland;gering besiedelt;
Leipzig, Stadt;297,80; 587 857; 288 553; 299 304; 1 974;04109;12,377931;51,338288;C02;Stadt Leipzig;dicht besiedelt;
Coswig (Anhalt), Stadt;295,75; 11 824; 5 978; 5 846;  40;06869;12,457663;51,885582;D03;Anhalt-Wittenberg;gering besiedelt;
Tangerhütte, Stadt;294,83; 10 718; 5 354; 5 364;  36;39517;11,805411;52,434795;D05;Altmark;gering besiedelt;
Bismark (Altmark), Stadt;289,47; 8 256; 4 137; 4 119;  29;39629;11,555013;52,661431;D05;Altmark;gering besiedelt;
Dortmund, Stadt;280,71; 587 010; 288 386; 298 624; 2 091;44135;7,464165;51,514171;H11;Ruhrgebiet;dicht besiedelt;
Klötze, Stadt;278,31; 10 077; 4 953; 5 124;  36;38486;11,161472;52,626213;D05;Altmark;gering besiedelt;
Bad Berleburg, Stadt;275,52; 19 446; 9 902; 9 544;  71;57319;8,392854;51,049858;H06;Siegerland-Wittgenstein;gering besiedelt;
Kalbe (Milde), Stadt;272,85; 7 594; 3 828; 3 766;  28;39624;11,389156;52,656091;D05;Altmark;gering besiedelt;
Walsrode, Stadt;272,29; 23 068; 11 491; 11 577;  85;29664;9,59609;52,861848;G09;Lüneburger Heide;mittlere Besiedlungsdichte;
Oberharz am Brocken, Stadt;271,52; 10 451; 5 117; 5 334;  38;38875;10,803213;51,769516;D01;Harz und Harzvorland;gering besiedelt;
Fehrbellin;270,41; 8 948; 4 624; 4 324;  33;16833;12,764153;52,813492;A02;Ruppiner Seenland;gering besiedelt;
Jerichow, Stadt;269,93; 6 858; 3 470; 3 388;  25;39319;12,024965;52,49836;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Erfurt, Stadt;269,91; 213 699; 103 920; 109 779;  792;99084;11,027236;50,977122;E24;Städte Eisenach, Erfurt, Jena, Weimar;dicht besiedelt;
Arendsee (Altmark), Stadt;269,70; 6 750; 3 390; 3 360;  25;39619;11,489149;52,881825;D05;Altmark;gering besiedelt;
Nauen, Stadt;268,14; 17 967; 8 938; 9 029;  67;14641;12,876378;52,607013;A12;Havelland;mittlere Besiedlungsdichte;
Stendal, Hansestadt;268,08; 39 439; 19 252; 20 187;  147;39576;11,859247;52,605203;D05;Altmark;mittlere Besiedlungsdichte;
Harz (Ldkr. Göttingen), gemfr. Geb.;267,85;;;;;;10,388903;51,715579;G13;Harz;gering besiedelt;
Bielefeld, Stadt;258,83; 333 786; 161 078; 172 708; 1 290;33597;8,53212;52,020578;H04;Teutoburger Wald;dicht besiedelt;
Nordwestuckermark;254,32; 4 209; 2 139; 2 070;  17;17291;13,707767;53,331298;A03;Uckermark;gering besiedelt;
Melle, Stadt;253,95; 46 493; 23 065; 23 428;  183;49324;8,335672;52,201721;G07;Grafschaft Bentheim-Emsland-Osnabrücker Land;gering besiedelt;
Karstädt;253,55; 5 943; 3 009; 2 934;  23;19357;11,745992;53,156602;A01;Prignitz;gering besiedelt;
Groß Pankow (Prignitz);250,76; 3 803; 1 961; 1 842;  15;16928;12,055363;53,118372;A01;Prignitz;gering besiedelt;
Oebisfelde-Weferlingen, Stadt;249,30; 13 701; 6 909; 6 792;  55;39646;10,987352;52,43517;D04;Magdeburg, Elbe-Börde-Heide;gering besiedelt;
Frankfurt am Main, Stadt;248,31; 753 056; 371 671; 381 385; 3 033;60311;8,682433;50,11088;I13;Main und Taunus;dicht besiedelt;
Friesoythe, Stadt;247,49; 22 456; 11 316; 11 140;  91;26169;7,859448;53,020613;G06;Oldenburger Münsterland;gering besiedelt;
Löwenberger Land;245,43; 8 260; 4 136; 4 124;  34;16775;13,153285;52,896651;A02;Ruppiner Seenland;gering besiedelt;
Dessau-Roßlau, Stadt;244,71; 81 237; 39 457; 41 780;  332;06844;12,241879;51,830855;D03;Anhalt-Wittenberg;dicht besiedelt;
